Species,Accepted,Class,Order,Family,Mass,Mass imputed
Antilocapra americana,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,46082.92,FALSE
Giraffa camelopardalis,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,899994.8,FALSE
Okapia johnstoni,Okapia johnstoni,Mammalia,Artiodactyla,Giraffidae,230001.15,FALSE
Balaena mysticetus,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,100000000,FALSE
Eubalaena australis,Eubalaena australis,Mammalia,Cetacea,Balaenidae,23000000,FALSE
Eubalaena glacialis,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,23000000,FALSE
Eubalaena japonica,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,23000000,FALSE
Balaenoptera physalus,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,70000000,FALSE
Balaenoptera acutorostrata,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,10000000,FALSE
Balaenoptera bonaerensis,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,35089915.83,FALSE
Balaenoptera borealis,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,20000000,FALSE
Balaenoptera edeni,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,20000000,FALSE
Balaenoptera musculus,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,190000000,FALSE
Megaptera novaeangliae,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,30000000,FALSE
Eschrichtius robustus,Eschrichtius robustus,Mammalia,Cetacea,Eschrichtiidae,28500000,FALSE
Caperea marginata,Caperea marginata,Mammalia,Cetacea,Neobalaenidae,32000000,FALSE
Cephalorhynchus commersonii,Cephalorhynchus commersonii,Mammalia,Cetacea,Delphinidae,72400,FALSE
Cephalorhynchus eutropia,Cephalorhynchus eutropia,Mammalia,Cetacea,Delphinidae,14.963125670756854,TRUE
Cephalorhynchus heavisidii,Cephalorhynchus heavisidii,Mammalia,Cetacea,Delphinidae,40000,FALSE
Cephalorhynchus hectori,Cephalorhynchus hectori,Mammalia,Cetacea,Delphinidae,50000,FALSE
Delphinus capensis,Delphinus,Mammalia,Cetacea,Delphinidae,80000,FALSE
Delphinus delphis,Delphinus delphis,Mammalia,Cetacea,Delphinidae,80000,FALSE
Feresa attenuata,Feresa attenuata,Mammalia,Cetacea,Delphinidae,170000,FALSE
Globicephala macrorhynchus,Globicephala macrorhynchus,Mammalia,Cetacea,Delphinidae,726000,FALSE
Globicephala melas,Globicephala melas,Mammalia,Cetacea,Delphinidae,800000,FALSE
Grampus griseus,Grampus griseus,Mammalia,Cetacea,Delphinidae,387500,FALSE
Lagenodelphis hosei,Lagenodelphis hosei,Mammalia,Cetacea,Delphinidae,164000,FALSE
Lagenorhynchus albirostris,Lagenorhynchus albirostris,Mammalia,Cetacea,Delphinidae,180000,FALSE
Lagenorhynchus australis,Lagenorhynchus australis,Mammalia,Cetacea,Delphinidae,120000,FALSE
Lagenorhynchus cruciger,Lagenorhynchus cruciger,Mammalia,Cetacea,Delphinidae,110000,FALSE
Lagenorhynchus obliquidens,Lagenorhynchus obliquidens,Mammalia,Cetacea,Delphinidae,120000,FALSE
Lagenorhynchus obscurus,Lagenorhynchus obscurus,Mammalia,Cetacea,Delphinidae,127500,FALSE
Lagenorhynchus acutus,Lagenorhynchus acutus,Mammalia,Cetacea,Delphinidae,182000,FALSE
Lissodelphis borealis,Lissodelphis borealis,Mammalia,Cetacea,Delphinidae,113000,FALSE
Lissodelphis peronii,Lissodelphis peronii,Mammalia,Cetacea,Delphinidae,116000,FALSE
Orcaella brevirostris,Orcaella brevirostris,Mammalia,Cetacea,Delphinidae,190000,FALSE
Orcinus orca,Orcinus orca,Mammalia,Cetacea,Delphinidae,4300000,FALSE
Peponocephala electra,Peponocephala electra,Mammalia,Cetacea,Delphinidae,206000,FALSE
Pseudorca crassidens,Pseudorca crassidens,Mammalia,Cetacea,Delphinidae,1360000,FALSE
Sotalia fluviatilis,Sotalia fluviatilis,Mammalia,Cetacea,Delphinidae,60000,FALSE
Sousa chinensis,Sousa chinensis,Mammalia,Cetacea,Delphinidae,280000,FALSE
Sousa teuszii,Sousa teuszii,Mammalia,Cetacea,Delphinidae,100000,FALSE
Stenella attenuata,Stenella attenuata,Mammalia,Cetacea,Delphinidae,57400,FALSE
Stenella longirostris,Stenella longirostris,Mammalia,Cetacea,Delphinidae,50500,FALSE
Stenella frontalis,Stenella frontalis,Mammalia,Cetacea,Delphinidae,110000,FALSE
Stenella coeruleoalba,Stenella coeruleoalba,Mammalia,Cetacea,Delphinidae,135900,FALSE
Stenella clymene,Stenella clymene,Mammalia,Cetacea,Delphinidae,68000,FALSE
Tursiops aduncus,Tursiops aduncus,Mammalia,Cetacea,Delphinidae,175000,FALSE
Tursiops truncatus,Tursiops truncatus,Mammalia,Cetacea,Delphinidae,175000,FALSE
Steno bredanensis,Steno bredanensis,Mammalia,Cetacea,Delphinidae,130000,FALSE
Delphinapterus leucas,Delphinapterus leucas,Mammalia,Cetacea,Monodontidae,1360000,FALSE
Monodon monoceros,Monodon monoceros,Mammalia,Cetacea,Monodontidae,900000,FALSE
Neophocaena phocaenoides,Neophocaena phocaenoides,Mammalia,Cetacea,Phocoenidae,32500,FALSE
Phocoena dioptrica,Phocoena dioptrica,Mammalia,Cetacea,Phocoenidae,65000,FALSE
Phocoena phocoena,Phocoena phocoena,Mammalia,Cetacea,Phocoenidae,52500,FALSE
Phocoena sinus,Phocoena sinus,Mammalia,Cetacea,Phocoenidae,42500,FALSE
Phocoena spinipinnis,Phocoena spinipinnis,Mammalia,Cetacea,Phocoenidae,60000,FALSE
Phocoenoides dalli,Phocoenoides dalli,Mammalia,Cetacea,Phocoenidae,102500,FALSE
Tasmacetus shepherdi,Tasmacetus shepherdi,Mammalia,Cetacea,Hyperoodontidae,2500000,FALSE
Ziphius cavirostris,Ziphius cavirostris,Mammalia,Cetacea,Hyperoodontidae,4775000,FALSE
Berardius bairdii,Berardius bairdii,Mammalia,Cetacea,Hyperoodontidae,11380000,FALSE
Berardius arnuxii,Berardius arnuxii,Mammalia,Cetacea,Hyperoodontidae,7000000,FALSE
Hyperoodon ampullatus,Hyperoodon ampullatus,Mammalia,Cetacea,Hyperoodontidae,5800000,FALSE
Hyperoodon planifrons,Hyperoodon planifrons,Mammalia,Cetacea,Hyperoodontidae,3000000,FALSE
Indopacetus pacificus,Indopacetus pacificus,Mammalia,Cetacea,Hyperoodontidae,2200000,FALSE
Mesoplodon carlhubbsi,Mesoplodon carlhubbsi,Mammalia,Cetacea,Hyperoodontidae,3400000,FALSE
Mesoplodon stejnegeri,Mesoplodon stejnegeri,Mammalia,Cetacea,Hyperoodontidae,4800000,FALSE
Mesoplodon peruvianus,Mesoplodon peruvianus,Mammalia,Cetacea,Hyperoodontidae,2514984.32,FALSE
Mesoplodon perrini,Mesoplodon perrini,Mammalia,Cetacea,Hyperoodontidae,2514984.32,FALSE
Mesoplodon mirus,Mesoplodon mirus,Mammalia,Cetacea,Hyperoodontidae,2100000,FALSE
Mesoplodon layardii,Mesoplodon layardii,Mammalia,Cetacea,Hyperoodontidae,1500000,FALSE
Mesoplodon hectori,Mesoplodon hectori,Mammalia,Cetacea,Hyperoodontidae,1000000,FALSE
Mesoplodon grayi,Mesoplodon grayi,Mammalia,Cetacea,Hyperoodontidae,2900000,FALSE
Mesoplodon ginkgodens,Mesoplodon ginkgodens,Mammalia,Cetacea,Hyperoodontidae,1500000,FALSE
Mesoplodon bidens,Mesoplodon bidens,Mammalia,Cetacea,Hyperoodontidae,3400000,FALSE
Mesoplodon densirostris,Mesoplodon densirostris,Mammalia,Cetacea,Hyperoodontidae,2300000,FALSE
Mesoplodon bowdoini,Mesoplodon bowdoini,Mammalia,Cetacea,Hyperoodontidae,2600000,FALSE
Mesoplodon traversii,Mesoplodon traversii,Mammalia,Cetacea,Hyperoodontidae,2514984.32,FALSE
Mesoplodon europaeus,Mesoplodon europaeus,Mammalia,Cetacea,Hyperoodontidae,5600000,FALSE
Kogia breviceps,Kogia breviceps,Mammalia,Cetacea,Kogiidae,431500,FALSE
Kogia sima,Kogia sima,Mammalia,Cetacea,Kogiidae,183066.66,FALSE
Physeter catodon,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,14025000,FALSE
Platanista gangetica,Platanista gangetica,Mammalia,Cetacea,Platanistidae,115000,FALSE
Platanista minor,Platanista gangetica,Mammalia,Cetacea,Platanistidae,83914.59,FALSE
Inia geoffrensis,Inia geoffrensis,Mammalia,Cetacea,Iniidae,129250,FALSE
Lipotes vexillifer,Lipotes vexillifer,Mammalia,Cetacea,Lipotidae,83500,FALSE
Pontoporia blainvillei,Pontoporia blainvillei,Mammalia,Cetacea,Pontoporiidae,40500,FALSE
Crocidura lasiura,Crocidura lasiura,Mammalia,Soricomorpha,Soricidae,14.8,FALSE
Amphisbaena talisiae,Amphisbaena talisiae,Reptilia,Squamata,Amphisbaenidae,0.28307761049693386,FALSE
Cynisca degrysi,Cynisca degrysi,Reptilia,Squamata,Amphisbaenidae,0.30530983673686274,FALSE
Amphisbaena tragorrhectes,Amphisbaena tragorrhectes,Reptilia,Squamata,Amphisbaenidae,0.3410833257955986,FALSE
Amphisbaena slevini,Amphisbaena slevini,Reptilia,Squamata,Amphisbaenidae,0.4518884102894821,FALSE
Amphisbaena heathi,Amphisbaena heathi,Reptilia,Squamata,Amphisbaenidae,0.5512399593241328,FALSE
Cynisca haugi,Cynisca haugi,Reptilia,Squamata,Amphisbaenidae,0.5512399593241328,FALSE
Cynisca rouxae,Cynisca rouxae,Reptilia,Squamata,Amphisbaenidae,0.5512399593241328,FALSE
Amphisbaena maranhensis,Amphisbaena maranhensis,Reptilia,Squamata,Amphisbaenidae,0.5692701631950643,FALSE
Amphisbaena carvalhoi,Amphisbaena carvalhoi,Reptilia,Squamata,Amphisbaenidae,0.6458519408289736,FALSE
Chirindia rondoensis,Chirindia rondoensis,Reptilia,Squamata,Amphisbaenidae,0.6458519408289736,FALSE
Cynisca manei,Cynisca manei,Reptilia,Squamata,Amphisbaenidae,0.6458519408289736,FALSE
Amphisbaena hogei,Amphisbaena hogei,Reptilia,Squamata,Amphisbaenidae,0.6661484366394972,FALSE
Amphisbaena mensae,Amphisbaena talisiae,Reptilia,Squamata,Amphisbaenidae,0.6661484366394972,FALSE
Cynisca bifrontalis,Cynisca bifrontalis,Reptilia,Squamata,Amphisbaenidae,0.6869198746520055,FALSE
Amphisbaena brevis,Amphisbaena brevis,Reptilia,Squamata,Amphisbaenidae,0.8219384801484131,FALSE
Amphisbaena albocingulata,Amphisbaena albocingulata,Reptilia,Squamata,Amphisbaenidae,0.8462437983456748,FALSE
Cynisca senegalensis,Cynisca senegalensis,Reptilia,Squamata,Amphisbaenidae,0.8462437983456748,FALSE
Amphisbaena slateri,Amphisbaena slateri,Reptilia,Squamata,Amphisbaenidae,0.8710845380875564,FALSE
Amphisbaena miringoera,Amphisbaena miringoera,Reptilia,Squamata,Amphisbaenidae,0.9488977044453643,FALSE
Cynisca oligopholis,Cynisca oligopholis,Reptilia,Squamata,Amphisbaenidae,1.0900352937776305,FALSE
Amphisbaena crisae,Amphisbaena crisae,Reptilia,Squamata,Amphisbaenidae,1.1506874540363812,FALSE
Agamodon compressus,Agamodon compressus,Reptilia,Squamata,Trogonophidae,1.1635363403175842,FALSE
Amphisbaena neglecta,Amphisbaena neglecta,Reptilia,Squamata,Amphisbaenidae,1.1819461082425156,FALSE
Amphisbaena hastata,Amphisbaena hastata,Reptilia,Squamata,Amphisbaenidae,1.2463707747798964,FALSE
Amphisbaena pericensis,Amphisbaena pericensis,Reptilia,Squamata,Amphisbaenidae,1.2795538356132625,FALSE
Amphisbaena vanzolinii,Amphisbaena vanzolinii,Reptilia,Squamata,Amphisbaenidae,1.2795538356132625,FALSE
Chirindia ewerbecki,Chirindia ewerbecki,Reptilia,Squamata,Amphisbaenidae,1.2795538356132625,FALSE
Cynisca leonina,Cynisca leonina,Reptilia,Squamata,Amphisbaenidae,1.3479044745066642,FALSE
Amphisbaena leeseri,Amphisbaena leeseri,Reptilia,Squamata,Amphisbaenidae,1.3830894417139836,FALSE
Amphisbaena lumbricalis,Amphisbaena lumbricalis,Reptilia,Squamata,Amphisbaenidae,1.3830894417139836,FALSE
Amphisbaena caiari,Amphisbaena caiari,Reptilia,Squamata,Amphisbaenidae,1.4189591961972705,FALSE
Chirindia langi,Chirindia langi,Reptilia,Squamata,Amphisbaenidae,1.4555225793964814,FALSE
Cynisca liberiensis,Cynisca liberiensis,Reptilia,Squamata,Amphisbaenidae,1.4555225793964814,FALSE
Cynisca gansi,Cynisca gansi,Reptilia,Squamata,Amphisbaenidae,1.4740671604331346,FALSE
Chirindia swynnertoni,Chirindia swynnertoni,Reptilia,Squamata,Amphisbaenidae,1.5307658713460586,FALSE
Cynisca kraussi,Cynisca kraussi,Reptilia,Squamata,Amphisbaenidae,1.5307658713460586,FALSE
Amphisbaena persephone,Amphisbaena persephone,Reptilia,Squamata,Amphisbaenidae,1.5694637347288716,FALSE
Cynisca williamsi,Cynisca williamsi,Reptilia,Squamata,Amphisbaenidae,1.5694637347288716,FALSE
Amphisbaena silvestrii,Amphisbaena silvestrii,Reptilia,Squamata,Amphisbaenidae,1.6088911508406476,FALSE
Amphisbaena uroxena,Amphisbaena uroxena,Reptilia,Squamata,Amphisbaenidae,1.6490572415577225,FALSE
Amphisbaena mitchelli,Amphisbaena mitchelli,Reptilia,Squamata,Amphisbaenidae,1.731642211976084,FALSE
Amphisbaena sanctaeritae,Amphisbaena sanctaeritae,Reptilia,Squamata,Amphisbaenidae,1.731642211976084,FALSE
Amphisbaena carlgansi,Amphisbaena carlgansi,Reptilia,Squamata,Amphisbaenidae,1.8612910626429187,FALSE
Amphisbaena nigricauda,Amphisbaena nigricauda,Reptilia,Squamata,Amphisbaenidae,1.861291062109476,FALSE
Cynisca feae,Cynisca feae,Reptilia,Squamata,Amphisbaenidae,1.8612910626429187,FALSE
Amphisbaena gracilis,Amphisbaena gracilis,Reptilia,Squamata,Amphisbaenidae,1.9516809721334503,FALSE
Cynisca kigomensis,Cynisca kigomensis,Reptilia,Squamata,Amphisbaenidae,1.9516809721334503,FALSE
Amphisbaena munoai,Amphisbaena munoai,Reptilia,Squamata,Amphisbaenidae,2.0453257546328723,FALSE
Cynisca nigeriensis,Cynisca nigeriensis,Reptilia,Squamata,Amphisbaenidae,2.0933928427792416,FALSE
Chirindia mpwapwaensis,Chirindia mpwapwaensis,Reptilia,Squamata,Amphisbaenidae,2.192065167173978,FALSE
Cynisca muelleri,Cynisca muelleri,Reptilia,Squamata,Amphisbaenidae,2.192065167173978,FALSE
Amphisbaena barbouri,Amphisbaena barbouri,Reptilia,Squamata,Amphisbaenidae,2.294187335410732,FALSE
Agamodon arabicus,Agamodon arabicus,Reptilia,Squamata,Trogonophidae,2.30852874178286,FALSE
Amphisbaena anaemariae,Amphisbaena anaemariae,Reptilia,Squamata,Amphisbaenidae,2.3998389347240607,FALSE
Amphisbaena medemi,Amphisbaena medemi,Reptilia,Squamata,Amphisbaenidae,2.6799396673379294,FALSE
Loveridgea ionidesii,Loveridgea ionidesii,Reptilia,Squamata,Amphisbaenidae,2.6799396673379294,FALSE
Zygaspis vandami,Zygaspis vandami,Reptilia,Squamata,Amphisbaenidae,2.738779799699861,FALSE
Zygaspis violacea,Zygaspis violacea,Reptilia,Squamata,Amphisbaenidae,2.738779799699861,FALSE
Amphisbaena ignatiana,Amphisbaena ignatiana,Reptilia,Squamata,Amphisbaenidae,2.9211274242054315,FALSE
Amphisbaena myersi,Amphisbaena myersi,Reptilia,Squamata,Amphisbaenidae,2.9211274242054315,FALSE
Monopeltis kabindae,Monopeltis kabindae,Reptilia,Squamata,Amphisbaenidae,2.9211274242054315,FALSE
Amphisbaena borelli,Amphisbaena borelli,Reptilia,Squamata,Amphisbaenidae,3.2451003928294426,FALSE
Amphisbaena arenaria,Amphisbaena arenaria,Reptilia,Squamata,Amphisbaenidae,3.3819617233886925,FALSE
Amphisbaena supernumeraria,Amphisbaena supernumeraria,Reptilia,Squamata,Amphisbaenidae,3.3819617233886925,FALSE
Loveridgea phylofiniens,Loveridgea phylofiniens,Reptilia,Squamata,Amphisbaenidae,3.3819617233886925,FALSE
Amphisbaena rozei,Amphisbaena rozei,Reptilia,Squamata,Amphisbaenidae,3.4519943641581143,FALSE
Cynisca schaeferi,Cynisca schaeferi,Reptilia,Squamata,Amphisbaenidae,3.5231097151366253,FALSE
Ancylocranium somalicum,Ancylocranium somalicum,Reptilia,Squamata,Amphisbaenidae,3.8953181729007387,FALSE
Amphisbaena hiata,Amphisbaena hiata,Reptilia,Squamata,Amphisbaenidae,4.052173956557191,FALSE
Amphisbaena cubana,Amphisbaena cubana,Reptilia,Squamata,Amphisbaenidae,4.213722701772564,FALSE
Baikia africana,Baikia africana,Reptilia,Squamata,Amphisbaenidae,4.213722701772564,FALSE
Bipes tridactylus,Bipes tridactylus,Reptilia,Squamata,Bipedidae,4.25329111634244,FALSE
Amphisbaena manni,Amphisbaena manni,Reptilia,Squamata,Amphisbaenidae,4.72745926111432,FALSE
Amphisbaena bahiana,Amphisbaena bahiana,Reptilia,Squamata,Amphisbaenidae,5.001277000175317,FALSE
Amphisbaena cayemite,Amphisbaena cayemite,Reptilia,Squamata,Amphisbaenidae,5.483876706196982,FALSE
Zygaspis kafuensis,Zygaspis kafuensis,Reptilia,Squamata,Amphisbaenidae,5.483876706196982,FALSE
Zygaspis dolichomenta,Zygaspis dolichomenta,Reptilia,Squamata,Amphisbaenidae,6.108189695330887,FALSE
Amphisbaena polygrammica,Amphisbaena polygrammica,Reptilia,Squamata,Amphisbaenidae,6.217211046885648,FALSE
Amphisbaena cegei,Amphisbaena cegei,Reptilia,Squamata,Amphisbaenidae,6.439627969461107,FALSE
Diplometopon zarudnyi,Diplometopon zarudnyi,Reptilia,Squamata,Trogonophidae,6.520582543826768,FALSE
Amphisbaena prunicolor,Amphisbaena prunicolor,Reptilia,Squamata,Amphisbaenidae,7.515257522787166,FALSE
Amphisbaena schmidti,Amphisbaena schmidti,Reptilia,Squamata,Amphisbaenidae,7.771528535709476,FALSE
Geocalamus modestus,Geocalamus modestus,Reptilia,Squamata,Amphisbaenidae,7.771528535709476,FALSE
Pachycalamus brevis,Pachycalamus brevis,Reptilia,Squamata,Trogonophidae,7.963163907607405,FALSE
Amphisbaena absaberi,Amphisbaena absaberi,Reptilia,Squamata,Amphisbaenidae,8.03430234551322,FALSE
Amphisbaena fenestrata,Amphisbaena fenestrata,Reptilia,Squamata,Amphisbaenidae,8.03430234551322,FALSE
Amphisbaena kingii,Amphisbaena kingii,Reptilia,Squamata,Amphisbaenidae,8.03430234551322,FALSE
Amphisbaena steindachneri,Amphisbaena steindachneri,Reptilia,Squamata,Amphisbaenidae,8.168161914018718,FALSE
Agamodon anguliceps,Agamodon anguliceps,Reptilia,Squamata,Trogonophidae,8.202217417161544,FALSE
Blanus alexandri,Blanus alexandri,Reptilia,Squamata,Blanidae,8.202217417161544,FALSE
Amphisbaena ibijara,Amphisbaena ibijara,Reptilia,Squamata,Amphisbaenidae,8.317333045499295,FALSE
Amphisbaena xera,Amphisbaena xera,Reptilia,Squamata,Amphisbaenidae,8.44089504035883,FALSE
Ancylocranium barkeri,Ancylocranium barkeri,Reptilia,Squamata,Amphisbaenidae,8.44089504035883,FALSE
Zygaspis quadrifrons,Zygaspis quadrifrons,Reptilia,Squamata,Amphisbaenidae,8.44089504035883,FALSE
Zygaspis ferox,Zygaspis ferox,Reptilia,Squamata,Amphisbaenidae,8.720405737891479,FALSE
Geocalamus acutus,Geocalamus acutus,Reptilia,Squamata,Amphisbaenidae,8.862737471588218,FALSE
Amphisbaena townsendi,Amphisbaena townsendi,Reptilia,Squamata,Amphisbaenidae,9.449568269947633,FALSE
Mesobaena huebneri,Mesobaena huebneri,Reptilia,Squamata,Amphisbaenidae,9.449568269947633,FALSE
Blanus mettetali,Blanus mettetali,Reptilia,Squamata,Blanidae,9.468722393968578,FALSE
Amphisbaena ridleyi,Amphisbaena ridleyi,Reptilia,Squamata,Amphisbaenidae,9.60072274331843,FALSE
Mesobaena rhachicephala,Mesobaena rhachicephala,Reptilia,Squamata,Amphisbaenidae,9.60072274331843,FALSE
Blanus strauchi,Blanus strauchi,Reptilia,Squamata,Blanidae,9.736580054817761,FALSE
Amphisbaena leali,Amphisbaena leali,Reptilia,Squamata,Amphisbaenidae,9.753684467042968,FALSE
Cynisca leucura,Cynisca leucura,Reptilia,Squamata,Amphisbaenidae,10.383891987984786,FALSE
Amphisbaena bakeri,Amphisbaena bakeri,Reptilia,Squamata,Amphisbaenidae,10.710215392746996,FALSE
Dalophia luluae,Dalophia luluae,Reptilia,Squamata,Amphisbaenidae,10.710215392746996,FALSE
Amphisbaena occidentalis,Amphisbaena occidentalis,Reptilia,Squamata,Amphisbaenidae,11.044174857177069,FALSE
Amphisbaena stejnegeri,Amphisbaena stejnegeri,Reptilia,Squamata,Amphisbaenidae,11.559690781931566,FALSE
Amphisbaena innocens,Amphisbaena innocens,Reptilia,Squamata,Amphisbaenidae,12.093057559630179,FALSE
Amphisbaena roberti,Amphisbaena roberti,Reptilia,Squamata,Amphisbaenidae,12.093057559630179,FALSE
Amphisbaena carli,Amphisbaena carli,Reptilia,Squamata,Amphisbaenidae,12.274883699030207,FALSE
Amphisbaena caudalis,Amphisbaena caudalis,Reptilia,Squamata,Amphisbaenidae,12.274883699030207,FALSE
Amphisbaena anomala,Amphisbaena anomala,Reptilia,Squamata,Amphisbaenidae,13.02278069334849,FALSE
Blanus tingitanus,Blanus tingitanus,Reptilia,Squamata,Blanidae,13.1841677143317,FALSE
Monopeltis zambezensis,Monopeltis zambezensis,Reptilia,Squamata,Amphisbaenidae,13.409299902656862,FALSE
Amphisbaena dubia,Amphisbaena dubia,Reptilia,Squamata,Amphisbaenidae,13.60575643117934,FALSE
Amphisbaena littoralis,Amphisbaena littoralis,Reptilia,Squamata,Amphisbaenidae,14.005141369502523,FALSE
Bipes biporus,Bipes biporus,Reptilia,Squamata,Bipedidae,14.026899455893387,FALSE
Bipes canaliculatus,Bipes canaliculatus,Reptilia,Squamata,Bipedidae,14.026899455893387,FALSE
Trogonophis wiegmanni,Trogonophis wiegmanni,Reptilia,Squamata,Trogonophidae,14.026899455893387,FALSE
Amphisbaena heterozonata,Amphisbaena darwinii,Reptilia,Squamata,Amphisbaenidae,14.413260367816951,FALSE
Zygaspis nigra,Zygaspis nigra,Reptilia,Squamata,Amphisbaenidae,14.413260367816951,FALSE
Amphisbaena plumbea,Amphisbaena plumbea,Reptilia,Squamata,Amphisbaenidae,15.04209222273869,FALSE
Amphisbaena frontalis,Amphisbaena frontalis,Reptilia,Squamata,Amphisbaenidae,15.256207572838417,FALSE
Amphisbaena arda,Amphisbaena arda,Reptilia,Squamata,Amphisbaenidae,15.47260198671674,FALSE
Blanus aporus,Blanus aporus,Reptilia,Squamata,Blanidae,16.19279403931576,FALSE
Blanus mariae,Blanus cinereus,Reptilia,Squamata,Blanidae,16.38263268318998,FALSE
Blanus cinereus,Blanus cinereus,Reptilia,Squamata,Blanidae,16.57393487459795,FALSE
Amphisbaena bedai,Amphisbaena bedai,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Cynisca chirioi,Cynisca chirioi,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Monopeltis decosteri,Monopeltis decosteri,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Monopeltis leonhardi,Monopeltis leonhardi,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Monopeltis rhodesiana,Monopeltis rhodesiana,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Monopeltis scalper,Monopeltis scalper,Reptilia,Squamata,Amphisbaenidae,16.589327389099786,FALSE
Amphisbaena caeca,Amphisbaena caeca,Reptilia,Squamata,Amphisbaenidae,16.819737243362585,FALSE
Monopeltis welwitschii,Dalophia welwitschii,Reptilia,Squamata,Amphisbaenidae,17.287753242571913,FALSE
Monopeltis perplexus,Monopeltis perplexus,Reptilia,Squamata,Amphisbaenidae,19.003118126201144,FALSE
Amphisbaena kraoh,Amphisbaena kraoh,Reptilia,Squamata,Amphisbaenidae,20.304367062476746,FALSE
Amphisbaena bilabialatus,Amphisbaena bilabialata,Reptilia,Squamata,Amphisbaenidae,20.843155615851888,FALSE
Amphisbaena gonavensis,Amphisbaena gonavensis,Reptilia,Squamata,Amphisbaenidae,21.671367005889124,FALSE
Amphisbaena hyporissor,Amphisbaena hyporissor,Reptilia,Squamata,Amphisbaenidae,21.671367005889124,FALSE
Amphisbaena cuiabana,Amphisbaena cuiabana,Reptilia,Squamata,Amphisbaenidae,23.40163169770263,FALSE
Amphisbaena brasiliana,Amphisbaena brasiliana,Reptilia,Squamata,Amphisbaenidae,23.69978815473808,FALSE
Amphisbaena spurelli,Amphisbaena spurelli,Reptilia,Squamata,Amphisbaenidae,24.61137983103125,FALSE
Amphisbaena vermicularis,Amphisbaena vermicularis,Reptilia,Squamata,Amphisbaenidae,26.188861989020353,FALSE
Ancylocranium ionidesi,Ancylocranium ionidesi,Reptilia,Squamata,Amphisbaenidae,27.171054401403083,FALSE
Amphisbaena octostegum,Leposternon octostegum,Reptilia,Squamata,Amphisbaenidae,29.925504795848475,FALSE
Monopeltis capensis,Monopeltis capensis,Reptilia,Squamata,Amphisbaenidae,31.378777593556062,FALSE
Monopeltis infuscata,Monopeltis infuscata,Reptilia,Squamata,Amphisbaenidae,31.378777593556062,FALSE
Amphisbaena amazonica,Amphisbaena fuliginosa,Reptilia,Squamata,Amphisbaenidae,32.124960844503,FALSE
Amphisbaena angustifrons,Amphisbaena angustifrons,Reptilia,Squamata,Amphisbaenidae,33.26910471601559,FALSE
Monopeltis anchietae,Monopeltis anchietae,Reptilia,Squamata,Amphisbaenidae,33.26910471601559,FALSE
Amphisbaena leucocephala,Amphisbaena leucocephala,Reptilia,Squamata,Amphisbaenidae,35.24363168645488,FALSE
Amphisbaena trachura,Amphisbaena darwinii,Reptilia,Squamata,Amphisbaenidae,35.24363168645488,FALSE
Amphisbaena kisteumacheri,Leposternon kisteumacheri,Reptilia,Squamata,Amphisbaenidae,37.72768366457621,FALSE
Monopeltis guentheri,Monopeltis guentheri,Reptilia,Squamata,Amphisbaenidae,37.72768366457621,FALSE
Amphisbaena darwini,Amphisbaena darwinii,Reptilia,Squamata,Amphisbaenidae,39.4551883549884,FALSE
Amphisbaena varia,Amphisbaena fuliginosa,Reptilia,Squamata,Amphisbaenidae,39.4551883549884,FALSE
Dalophia angolensis,Dalophia angolensis,Reptilia,Squamata,Amphisbaenidae,40.340868321763985,FALSE
Monopeltis sphenorhynchus,Monopeltis sphenorhynchus,Reptilia,Squamata,Amphisbaenidae,41.69725907251354,FALSE
Monopeltis vanderysti,Monopeltis vanderysti,Reptilia,Squamata,Amphisbaenidae,41.69725907251354,FALSE
Amphisbaena saxosa,Amphisbaena saxosa,Reptilia,Squamata,Amphisbaenidae,46.466856147931175,FALSE
Amphisbaena cerradensis,Leposternon cerradensis,Reptilia,Squamata,Amphisbaenidae,51.63463875891112,FALSE
Amphisbaena wiedi,Amphisbaena,Reptilia,Squamata,Amphisbaenidae,51.63463875891112,FALSE
Monopeltis luandae,Monopeltis luandae,Reptilia,Squamata,Amphisbaenidae,51.63463875891112,FALSE
Rhineura floridana,Rhineura floridana,Reptilia,Squamata,Rhineuridae,54.23793234150119,FALSE
Amphisbaena mertensii,Amphisbaena mertensii,Reptilia,Squamata,Amphisbaenidae,66.43927948418234,FALSE
