Species,Species ID,Accepted,Class,Order,Family,Mass,Mass imputed
Neurergus strauchii,A35,Neurergus strauchii,Amphibia,Caudata,Salamandridae,97.8633412206972,TRUE
Pelobates cultripes,A36,Pelobates cultripes,Amphibia,Anura,Pelobatidae,21.6,FALSE
Pelobates fuscus,A37,Pelobates fuscus,Amphibia,Anura,Pelobatidae,21.3,FALSE
Pelobates syriacus,A38,Pelobates syriacus,Amphibia,Anura,Pelobatidae,35.627241191679204,TRUE
Pelodytes caucasicus,A39,Pelodytes caucasicus,Amphibia,Anura,Pelodytidae,13.688031328629492,TRUE
Pelodytes ibericus,A40,Pelodytes ibericus,Amphibia,Anura,Pelodytidae,3.98,FALSE
Pelodytes punctatus,A41,Pelodytes punctatus,Amphibia,Anura,Pelodytidae,3.03,FALSE
Pleurodeles waltl,A42,Pleurodeles waltl,Amphibia,Caudata,Salamandridae,25.2,FALSE
Proteus anguinus,A43,Proteus anguinus,Amphibia,Caudata,Proteidae,13.2,FALSE
Rana arvalis,A44,Rana arvalis,Amphibia,Anura,Ranidae,10.8,FALSE
Pelophylax bedriagae,A45,Pelophylax bedriagae,Amphibia,Anura,Ranidae,3.200169250630438,TRUE
Pelophylax bergeri,A46,Pelophylax bergeri,Amphibia,Anura,Ranidae,0.08761117292521688,TRUE
Pelophylax cerigensis,A47,Pelophylax cerigensis,Amphibia,Anura,Ranidae,226.62001409738602,TRUE
Pelophylax cretensis,A48,Pelophylax cretensis,Amphibia,Anura,Ranidae,18.260824124400386,TRUE
Rana dalmatina,A49,Rana dalmatina,Amphibia,Anura,Ranidae,20.99,FALSE
Pelophylax epeiroticus,A50,Pelophylax epeiroticus,Amphibia,Anura,Ranidae,48.8,FALSE
Pelophylax esculentus,A51,Pelophylax lessonae,Amphibia,Anura,Ranidae,36.9,FALSE
Pelophylax esculentus,A51,Pelophylax lessonae,Amphibia,Anura,Ranidae,30.8,FALSE
Rana graeca,A52,Rana graeca,Amphibia,Anura,Ranidae,23.46886914967933,TRUE
Pelophylax kl. grafi,A53,Pelophylax,Amphibia,Anura,Ranidae,57.89151600809394,TRUE
Pelophylax kl. hispanicus,A54,Pelophylax,Amphibia,Anura,Ranidae,99.71368300695043,TRUE
Rana iberica,A55,Rana iberica,Amphibia,Anura,Ranidae,6.03,FALSE
Rana italica,A56,Rana italica,Amphibia,Anura,Ranidae,2615.856237385373,TRUE
Pelophylax kurtmuelleri,A57,Pelophylax kurtmuelleri,Amphibia,Anura,Ranidae,9.869553165544595,TRUE
Rana latastei,A58,Rana latastei,Amphibia,Anura,Ranidae,4.729883062880548,TRUE
Pelophylax lessonae,A59,Pelophylax lessonae,Amphibia,Anura,Ranidae,36.9,FALSE
Pelophylax lessonae,A59,Pelophylax lessonae,Amphibia,Anura,Ranidae,30.8,FALSE
Rana macrocnemis,A60,Rana macrocnemis,Amphibia,Anura,Ranidae,19.696439610769243,TRUE
Pelophylax perezi,A61,Pelophylax perezi,Amphibia,Anura,Ranidae,21.56,FALSE
Rana pyrenaica,A62,Rana pyrenaica,Amphibia,Anura,Ranidae,30.7275614405573,TRUE
Pelophylax ridibundus,A63,Pelophylax ridibundus,Amphibia,Anura,Ranidae,35.53,FALSE
Pelophylax shqipericus,A64,Pelophylax shqipericus,Amphibia,Anura,Ranidae,152.013836494896,TRUE
Rana tavasensis,A65,Rana tavasensis,Amphibia,Anura,Ranidae,823.5939116993258,TRUE
Rana temporaria,A66,Rana temporaria,Amphibia,Anura,Ranidae,42.24,FALSE
Salamandra atra,A67,Salamandra atra,Amphibia,Caudata,Salamandridae,8.2,FALSE
Salamandra corsica,A68,Salamandra corsica,Amphibia,Caudata,Salamandridae,1058.970798397414,TRUE
Salamandra infraimmaculata,A69,Salamandra infraimmaculata,Amphibia,Caudata,Salamandridae,20.180853593320887,TRUE
Salamandra lanzai,A70,Salamandra lanzai,Amphibia,Caudata,Salamandridae,12.2,FALSE
Salamandra salamandra,A71,Salamandra salamandra,Amphibia,Caudata,Salamandridae,35.23,FALSE
Salamandrella keyserlingii,A72,Salamandrella keyserlingii,Amphibia,Caudata,Hynobiidae,10.840332634250707,TRUE
Salamandrina perspicillata,A73,Salamandrina perspicillata,Amphibia,Caudata,Salamandridae,5.660814708523265,TRUE
Salamandrina terdigitata,A74,Salamandrina terdigitata,Amphibia,Caudata,Salamandridae,1.0986189698190312,TRUE
Speleomantes ambrosii,A75,Speleomantes ambrosii,Amphibia,Caudata,Plethodontidae,2.26,FALSE
Speleomantes flavus,A76,Speleomantes flavus,Amphibia,Caudata,Plethodontidae,2.4601493981382703,TRUE
Speleomantes genei,A77,Speleomantes genei,Amphibia,Caudata,Plethodontidae,3.92,FALSE
Speleomantes imperialis,A78,Speleomantes imperialis,Amphibia,Caudata,Plethodontidae,3.92,FALSE
Speleomantes italicus,A79,Speleomantes italicus,Amphibia,Caudata,Plethodontidae,2.88,FALSE
Speleomantes sarrabusensis,A80,Speleomantes sarrabusensis,Amphibia,Caudata,Plethodontidae,1.3251182101968804,TRUE
Speleomantes strinatii,A81,Speleomantes strinatii,Amphibia,Caudata,Plethodontidae,122.75763188285634,TRUE
Speleomantes supramontis,A82,Speleomantes supramontis,Amphibia,Caudata,Plethodontidae,5.08,FALSE
Ichthyosaura alpestris,A83,Ichthyosaura alpestris,Amphibia,Caudata,Salamandridae,2.96,FALSE
Lissotriton boscai,A84,Lissotriton boscai,Amphibia,Caudata,Salamandridae,1.77,FALSE
Triturus carnifex,A85,Triturus carnifex,Amphibia,Caudata,Salamandridae,8.84,FALSE
Triturus cristatus,A86,Triturus cristatus,Amphibia,Caudata,Salamandridae,7.34,FALSE
Triturus dobrogicus,A87,Triturus dobrogicus,Amphibia,Caudata,Salamandridae,4.7,FALSE
Lissotriton helveticus,A88,Lissotriton helveticus,Amphibia,Caudata,Salamandridae,1.3,FALSE
Lissotriton italicus,A89,Lissotriton italicus,Amphibia,Caudata,Salamandridae,0.98,FALSE
Triturus karelinii,A90,Triturus karelinii,Amphibia,Caudata,Salamandridae,1168.8433670908792,TRUE
Triturus marmoratus,A91,Triturus marmoratus,Amphibia,Caudata,Salamandridae,8.91,FALSE
Lissotriton montandoni,A92,Lissotriton montandoni,Amphibia,Caudata,Salamandridae,2.15,FALSE
Triturus pygmaeus,A93,Triturus pygmaeus,Amphibia,Caudata,Salamandridae,2.94,FALSE
Ommatotriton vittatus,A94,Ommatotriton vittatus,Amphibia,Caudata,Salamandridae,124.87207255429868,TRUE
Lissotriton vulgaris,A95,Lissotriton vulgaris,Amphibia,Caudata,Salamandridae,2.68,FALSE
Pelophylax caralitanus,A96,Pelophylax caralitanus,Amphibia,Anura,Ranidae,9.35768785273772,TRUE
Ommatotriton ophryticus,A97,Ommatotriton ophryticus,Amphibia,Caudata,Salamandridae,168.72267155508334,TRUE
Rana macrocnemis holtzi,A98,Rana macrocnemis,Amphibia,Anura,Ranidae,23.266048160272508,TRUE
Calotriton arnoldi,A99,Calotriton arnoldi,Amphibia,Caudata,Salamandridae,0.8748282615755434,TRUE
Bufotes balearica,A100,Bufotes balearicus,Amphibia,Anura,Bufonidae,183.17788281615142,TRUE
Bufotes boulengeri,A101,Bufotes boulengeri,Amphibia,Anura,Bufonidae,145.1948563216951,TRUE
Bufotes sicula,A102,Bufotes siculus,Amphibia,Anura,Bufonidae,5.756914935644814,TRUE
Bufotes variabilis,A103,Bufotes variabilis,Amphibia,Anura,Bufonidae,106.00207478633355,TRUE
Triturus macedonicus,A104,Triturus macedonicus,Amphibia,Caudata,Salamandridae,57.8770869997245,TRUE
Gavia stellata,B1,Gavia stellata,Aves,Gaviiformes,Gaviidae,1486,FALSE
Gavia arctica,B2,Gavia arctica,Aves,Gaviiformes,Gaviidae,2251.1,FALSE
Gavia immer,B3,Gavia immer,Aves,Gaviiformes,Gaviidae,4956.81,FALSE
Gavia adamsii,B4,Gavia adamsii,Aves,Gaviiformes,Gaviidae,4944.34,FALSE
Tachybaptus ruficollis,B5,Tachybaptus ruficollis,Aves,Podicipediformes,Podicipedidae,169.43,FALSE
Podiceps cristatus,B6,Podiceps cristatus,Aves,Podicipediformes,Podicipedidae,730.96,FALSE
Podiceps grisegena,B7,Podiceps grisegena,Aves,Podicipediformes,Podicipedidae,1023,FALSE
Podiceps auritus,B8,Podiceps auritus,Aves,Podicipediformes,Podicipedidae,453,FALSE
Podiceps nigricollis,B9,Podiceps nigricollis,Aves,Podicipediformes,Podicipedidae,412.44,FALSE
Fulmarus glacialis,B10,Fulmarus glacialis,Aves,Procellariiformes,Procellariidae,611.94,FALSE
Pterodroma feae,B11,Pterodroma feae,Aves,Procellariiformes,Procellariidae,311,FALSE
Pterodroma madeira,B12,Pterodroma madeira,Aves,Procellariiformes,Procellariidae,201.05,FALSE
Bulweria bulwerii,B13,Bulweria bulwerii,Aves,Procellariiformes,Procellariidae,98.99,FALSE
Calonectris diomedea,B14,Calonectris diomedea,Aves,Procellariiformes,Procellariidae,534.99,FALSE
Puffinus puffinus,B15,Puffinus puffinus,Aves,Procellariiformes,Procellariidae,453.26,FALSE
Puffinus yelkouan,B16,Puffinus yelkouan,Aves,Procellariiformes,Procellariidae,497,FALSE
Puffinus mauretanicus,B17,Puffinus mauretanicus,Aves,Procellariiformes,Procellariidae,497,FALSE
Puffinus assimilis,B18,Puffinus assimilis,Aves,Procellariiformes,Procellariidae,226,FALSE
Pelagodroma marina,B19,Pelagodroma marina,Aves,Procellariiformes,Hydrobatidae,47.2,FALSE
Hydrobates pelagicus,B20,Hydrobates pelagicus,Aves,Procellariiformes,Hydrobatidae,25.2,FALSE
Oceanodroma leucorhoa,B21,Oceanodroma leucorhoa,Aves,Procellariiformes,Hydrobatidae,36.71,FALSE
Oceanodroma castro,B22,Oceanodroma castro,Aves,Procellariiformes,Hydrobatidae,46.14,FALSE
Phaethon aethereus,B23,Phaethon aethereus,Aves,Phaethontiformes,Phaethontidae,749.99,FALSE
Morus bassanus,B24,Morus bassanus,Aves,Suliformes,Sulidae,2998.74,FALSE
Phalacrocorax carbo,B25,Phalacrocorax carbo,Aves,Suliformes,Phalacrocoracidae,2528.97,FALSE
Phalacrocorax aristotelis,B26,Phalacrocorax aristotelis,Aves,Suliformes,Phalacrocoracidae,1764.34,FALSE
Phalacrocorax pygmaeus,B27,Phalacrocorax pygmaeus,Aves,Suliformes,Phalacrocoracidae,4.858771903488927,TRUE
Pelecanus onocrotalus,B28,Pelecanus onocrotalus,Aves,Pelecaniformes,Pelecanidae,9322.31,FALSE
Pelecanus crispus,B29,Pelecanus crispus,Aves,Pelecaniformes,Pelecanidae,9512.09,FALSE
Ardea cinerea,B30,Ardea cinerea,Aves,Pelecaniformes,Ardeidae,1443,FALSE
Ardea purpurea,B31,Ardea purpurea,Aves,Pelecaniformes,Ardeidae,1064.48,FALSE
Ardea alba,B32,Ardea alba,Aves,Pelecaniformes,Ardeidae,2720.1384373277488,TRUE
Egretta garzetta,B33,Egretta garzetta,Aves,Pelecaniformes,Ardeidae,312,FALSE
Ardeola ralloides,B34,Ardeola ralloides,Aves,Pelecaniformes,Ardeidae,287,FALSE
Bubulcus ibis,B35,Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,365.95,FALSE
Nycticorax nycticorax,B36,Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,810,FALSE
Ixobrychus minutus,B37,Ixobrychus minutus,Aves,Pelecaniformes,Ardeidae,99.49,FALSE
Botaurus stellaris,B38,Botaurus stellaris,Aves,Pelecaniformes,Ardeidae,1319.45,FALSE
Ciconia nigra,B39,Ciconia nigra,Aves,Ciconiiformes,Ciconiidae,2926,FALSE
Ciconia ciconia,B40,Ciconia ciconia,Aves,Ciconiiformes,Ciconiidae,3445.8,FALSE
Plegadis falcinellus,B41,Plegadis falcinellus,Aves,Pelecaniformes,Threskiornithidae,626.61,FALSE
Platalea leucorodia,B42,Platalea leucorodia,Aves,Pelecaniformes,Threskiornithidae,1868,FALSE
Phoenicopterus roseus,B43,Phoenicopterus roseus,Aves,Phoenicopteriformes,Phoenicopteridae,3031.59,FALSE
Cygnus olor,B44,Cygnus olor,Aves,Anseriformes,Anatidae,10682.04,FALSE
Cygnus cygnus,B45,Cygnus cygnus,Aves,Anseriformes,Anatidae,9349.99,FALSE
Cygnus columbianus,B46,Cygnus columbianus,Aves,Anseriformes,Anatidae,6377.96,FALSE
Anser fabalis,B47,Anser fabalis,Aves,Anseriformes,Anatidae,2754.73,FALSE
Anser brachyrhynchus,B48,Anser brachyrhynchus,Aves,Anseriformes,Anatidae,2642.04,FALSE
Anser albifrons,B49,Anser albifrons,Aves,Anseriformes,Anatidae,2506.39,FALSE
Anser erythropus,B50,Anser erythropus,Aves,Anseriformes,Anatidae,1755.5,FALSE
Anser anser,B51,Anser anser,Aves,Anseriformes,Anatidae,3302.41,FALSE
Branta leucopsis,B53,Branta leucopsis,Aves,Anseriformes,Anatidae,1683.97,FALSE
Branta bernicla,B54,Branta bernicla,Aves,Anseriformes,Anatidae,1277.91,FALSE
Tadorna ferruginea,B56,Tadorna ferruginea,Aves,Anseriformes,Anatidae,1235.03,FALSE
Tadorna tadorna,B57,Tadorna tadorna,Aves,Anseriformes,Anatidae,1146.83,FALSE
Anas penelope,B58,Anas penelope,Aves,Anseriformes,Anatidae,770.03,FALSE
Anas strepera,B59,Anas strepera,Aves,Anseriformes,Anatidae,915.58,FALSE
Anas crecca,B60,Anas crecca,Aves,Anseriformes,Anatidae,341.89,FALSE
Anas platyrhynchos,B61,Anas platyrhynchos,Aves,Anseriformes,Anatidae,843.42,FALSE
Anas acuta,B62,Anas acuta,Aves,Anseriformes,Anatidae,944.62,FALSE
Anas querquedula,B63,Anas querquedula,Aves,Anseriformes,Anatidae,325.6,FALSE
Anas clypeata,B64,Anas clypeata,Aves,Anseriformes,Anatidae,612.56,FALSE
Marmaronetta angustirostris,B65,Marmaronetta angustirostris,Aves,Anseriformes,Anatidae,477,FALSE
Netta rufina,B66,Netta rufina,Aves,Anseriformes,Anatidae,1118,FALSE
Aythya ferina,B67,Aythya ferina,Aves,Anseriformes,Anatidae,822.99,FALSE
Aythya nyroca,B68,Aythya nyroca,Aves,Anseriformes,Anatidae,574,FALSE
Aythya fuligula,B69,Aythya fuligula,Aves,Anseriformes,Anatidae,701.17,FALSE
Aythya marila,B70,Aythya marila,Aves,Anseriformes,Anatidae,1005.37,FALSE
Somateria mollissima,B71,Somateria mollissima,Aves,Anseriformes,Anatidae,2060.93,FALSE
Somateria spectabilis,B72,Somateria spectabilis,Aves,Anseriformes,Anatidae,1616.71,FALSE
Polysticta stelleri,B73,Polysticta stelleri,Aves,Anseriformes,Anatidae,806.76,FALSE
Histrionicus histrionicus,B74,Histrionicus histrionicus,Aves,Anseriformes,Anatidae,561.57,FALSE
Clangula hyemalis,B75,Clangula hyemalis,Aves,Anseriformes,Anatidae,871,FALSE
Melanitta nigra,B76,Melanitta nigra,Aves,Anseriformes,Anatidae,1049.98,FALSE
Melanitta fusca,B77,Melanitta fusca,Aves,Anseriformes,Anatidae,1800.17,FALSE
Bucephala clangula,B78,Bucephala clangula,Aves,Anseriformes,Anatidae,918.56,FALSE
Bucephala islandica,B79,Bucephala islandica,Aves,Anseriformes,Anatidae,921.21,FALSE
Mergellus albellus,B80,Mergellus albellus,Aves,Anseriformes,Anatidae,608.55,FALSE
Mergus serrator,B81,Mergus serrator,Aves,Anseriformes,Anatidae,1015.17,FALSE
Mergus merganser,B82,Mergus merganser,Aves,Anseriformes,Anatidae,1451.02,FALSE
Oxyura leucocephala,B84,Oxyura leucocephala,Aves,Anseriformes,Anatidae,661.09,FALSE
Pandion haliaetus,B85,Pandion haliaetus,Aves,Accipitriformes,Pandionidae,1483.2,FALSE
Pernis apivorus,B86,Pernis apivorus,Aves,Accipitriformes,Accipitridae,754.37,FALSE
Elanus caeruleus,B87,Elanus caeruleus,Aves,Accipitriformes,Accipitridae,259.76,FALSE
Milvus milvus,B88,Milvus milvus,Aves,Accipitriformes,Accipitridae,1071.77,FALSE
Milvus migrans,B89,Milvus migrans,Aves,Accipitriformes,Accipitridae,734.1,FALSE
Haliaeetus albicilla,B90,Haliaeetus albicilla,Aves,Accipitriformes,Accipitridae,4729.27,FALSE
Gypaetus barbatus,B91,Gypaetus barbatus,Aves,Accipitriformes,Accipitridae,5694.98,FALSE
Neophron percnopterus,B92,Neophron percnopterus,Aves,Accipitriformes,Accipitridae,2082,FALSE
Gyps fulvus,B93,Gyps fulvus,Aves,Accipitriformes,Accipitridae,7435.99,FALSE
Aegypius monachus,B94,Aegypius monachus,Aves,Accipitriformes,Accipitridae,9320.55,FALSE
Circaetus gallicus,B95,Circaetus gallicus,Aves,Accipitriformes,Accipitridae,1699.12,FALSE
Circus aeruginosus,B96,Circus aeruginosus,Aves,Accipitriformes,Accipitridae,704.07,FALSE
Circus cyaneus,B97,Circus cyaneus,Aves,Accipitriformes,Accipitridae,392.98,FALSE
Circus macrourus,B98,Circus macrourus,Aves,Accipitriformes,Accipitridae,384.36,FALSE
Circus pygargus,B99,Circus pygargus,Aves,Accipitriformes,Accipitridae,310.75,FALSE
Accipiter brevipes,B100,Accipiter brevipes,Aves,Accipitriformes,Accipitridae,186.48,FALSE
Accipiter nisus,B101,Accipiter nisus,Aves,Accipitriformes,Accipitridae,220.79,FALSE
Accipiter gentilis,B102,Accipiter gentilis,Aves,Accipitriformes,Accipitridae,866.04,FALSE
Buteo buteo,B103,Buteo buteo,Aves,Accipitriformes,Accipitridae,759.1,FALSE
Buteo rufinus,B104,Buteo rufinus,Aves,Accipitriformes,Accipitridae,1166.18,FALSE
Buteo lagopus,B105,Buteo lagopus,Aves,Accipitriformes,Accipitridae,949.76,FALSE
Aquila pomarina,B106,Aquila pomarina,Aves,Accipitriformes,Accipitridae,1359.41,FALSE
Aquila clanga,B107,Aquila clanga,Aves,Accipitriformes,Accipitridae,2154.29,FALSE
Aquila nipalensis,B108,Aquila nipalensis,Aves,Accipitriformes,Accipitridae,2714.33,FALSE
Aquila adalberti,B109,Aquila adalberti,Aves,Accipitriformes,Accipitridae,2958.03,FALSE
Aquila heliaca,B110,Aquila heliaca,Aves,Accipitriformes,Accipitridae,3125.21,FALSE
Aquila chrysaetos,B111,Aquila chrysaetos,Aves,Accipitriformes,Accipitridae,4247.97,FALSE
Aquila fasciata,B112,Aquila fasciata,Aves,Accipitriformes,Accipitridae,222.8037729349159,TRUE
Hieraaetus pennatus,B113,Hieraaetus pennatus,Aves,Accipitriformes,Accipitridae,823.75,FALSE
Falco naumanni,B114,Falco naumanni,Aves,Falconiformes,Falconidae,152.06,FALSE
Falco tinnunculus,B115,Falco tinnunculus,Aves,Falconiformes,Falconidae,183.21,FALSE
Falco vespertinus,B116,Falco vespertinus,Aves,Falconiformes,Falconidae,151.49,FALSE
Falco eleonorae,B117,Falco eleonorae,Aves,Falconiformes,Falconidae,390,FALSE
Falco columbarius,B118,Falco columbarius,Aves,Falconiformes,Falconidae,188.5,FALSE
Falco subbuteo,B119,Falco subbuteo,Aves,Falconiformes,Falconidae,208.17,FALSE
Falco biarmicus,B120,Falco biarmicus,Aves,Falconiformes,Falconidae,606.09,FALSE
Falco cherrug,B121,Falco cherrug,Aves,Falconiformes,Falconidae,961.21,FALSE
Falco rusticolus,B122,Falco rusticolus,Aves,Falconiformes,Falconidae,1431.72,FALSE
Falco peregrinus,B123,Falco peregrinus,Aves,Falconiformes,Falconidae,759.95,FALSE
Lagopus lagopus,B124,Lagopus lagopus,Aves,Galliformes,Phasianidae,566.86,FALSE
Lagopus muta,B125,Lagopus muta,Aves,Galliformes,Phasianidae,535.3,FALSE
Tetrao urogallus,B126,Tetrao urogallus,Aves,Galliformes,Phasianidae,2716.61,FALSE
Lyrurus tetrix,B127,Lyrurus tetrix,Aves,Galliformes,Phasianidae,114.4281017853928,TRUE
Lyrurus mlokosiewiczi,B128,Lyrurus mlokosiewiczi,Aves,Galliformes,Phasianidae,91.32625216498018,TRUE
Tetrastes bonasia,B129,Tetrastes bonasia,Aves,Galliformes,Phasianidae,398.0262244391694,TRUE
Tetraogallus caucasicus,B130,Tetraogallus caucasicus,Aves,Galliformes,Phasianidae,1830.79,FALSE
Tetraogallus caspius,B131,Tetraogallus caspius,Aves,Galliformes,Phasianidae,2508.24,FALSE
Alectoris graeca,B132,Alectoris graeca,Aves,Galliformes,Phasianidae,594.11,FALSE
Alectoris chukar,B133,Alectoris chukar,Aves,Galliformes,Phasianidae,502.1,FALSE
Alectoris barbara,B134,Alectoris barbara,Aves,Galliformes,Phasianidae,416.33,FALSE
Alectoris rufa,B135,Alectoris rufa,Aves,Galliformes,Phasianidae,527.86,FALSE
Ammoperdix griseogularis,B136,Ammoperdix griseogularis,Aves,Galliformes,Phasianidae,201.86,FALSE
Francolinus francolinus,B137,Francolinus francolinus,Aves,Galliformes,Phasianidae,452.07,FALSE
Perdix perdix,B138,Perdix perdix,Aves,Galliformes,Phasianidae,405.3,FALSE
Coturnix coturnix,B139,Coturnix coturnix,Aves,Galliformes,Phasianidae,96.28,FALSE
Phasianus colchicus,B140,Phasianus colchicus,Aves,Galliformes,Phasianidae,1120.31,FALSE
Turnix sylvaticus,B141,Turnix sylvaticus,Aves,Charadriiformes,Turnicidae,52.69,FALSE
Anthropoides virgo,B142,Anthropoides virgo,Aves,Gruiformes,Gruidae,5.438556250607787,TRUE
Grus grus,B143,Grus grus,Aves,Gruiformes,Gruidae,5499.99,FALSE
Rallus aquaticus,B144,Rallus aquaticus,Aves,Gruiformes,Rallidae,110.67,FALSE
Crex crex,B145,Crex crex,Aves,Gruiformes,Rallidae,154.91,FALSE
Porzana parva,B146,Porzana parva,Aves,Gruiformes,Rallidae,49.7,FALSE
Porzana pusilla,B147,Porzana pusilla,Aves,Gruiformes,Rallidae,35.4,FALSE
Porzana porzana,B148,Porzana porzana,Aves,Gruiformes,Rallidae,87.1,FALSE
Porphyrio porphyrio,B149,Porphyrio porphyrio,Aves,Gruiformes,Rallidae,773.88,FALSE
Gallinula chloropus,B150,Gallinula chloropus,Aves,Gruiformes,Rallidae,339.63,FALSE
Fulica cristata,B151,Fulica cristata,Aves,Gruiformes,Rallidae,826,FALSE
Fulica atra,B152,Fulica atra,Aves,Gruiformes,Rallidae,717.12,FALSE
Otis tarda,B153,Otis tarda,Aves,Otidiformes,Otididae,6759.92,FALSE
Tetrax tetrax,B154,Tetrax tetrax,Aves,Otidiformes,Otididae,833.45,FALSE
Haematopus ostralegus,B155,Haematopus ostralegus,Aves,Charadriiformes,Haematopodidae,526,FALSE
Himantopus himantopus,B156,Himantopus himantopus,Aves,Charadriiformes,Recurvirostridae,176.82,FALSE
Recurvirostra avosetta,B157,Recurvirostra avosetta,Aves,Charadriiformes,Recurvirostridae,304,FALSE
Burhinus oedicnemus,B158,Burhinus oedicnemus,Aves,Charadriiformes,Burhinidae,459,FALSE
Glareola pratincola,B159,Glareola pratincola,Aves,Charadriiformes,Glareolidae,84.9,FALSE
Glareola nordmanni,B160,Glareola nordmanni,Aves,Charadriiformes,Glareolidae,97.19,FALSE
Vanellus vanellus,B161,Vanellus vanellus,Aves,Charadriiformes,Charadriidae,218.37,FALSE
Vanellus spinosus,B162,Vanellus spinosus,Aves,Charadriiformes,Charadriidae,187.95,FALSE
Vanellus indicus,B163,Vanellus indicus,Aves,Charadriiformes,Charadriidae,181,FALSE
Vanellus leucurus,B165,Vanellus leucurus,Aves,Charadriiformes,Charadriidae,132,FALSE
Pluvialis apricaria,B166,Pluvialis apricaria,Aves,Charadriiformes,Charadriidae,214,FALSE
Pluvialis squatarola,B167,Pluvialis squatarola,Aves,Charadriiformes,Charadriidae,250,FALSE
Charadrius hiaticula,B168,Charadrius hiaticula,Aves,Charadriiformes,Charadriidae,64.04,FALSE
Charadrius dubius,B169,Charadrius dubius,Aves,Charadriiformes,Charadriidae,38.7,FALSE
Charadrius alexandrinus,B170,Charadrius alexandrinus,Aves,Charadriiformes,Charadriidae,42.3,FALSE
Charadrius leschenaultii,B171,Charadrius leschenaultii,Aves,Charadriiformes,Charadriidae,74.8,FALSE
Charadrius asiaticus,B172,Charadrius asiaticus,Aves,Charadriiformes,Charadriidae,77.09,FALSE
