Species,Order,Family,id
Hierophis viridiflavus,Squamata,Colubridae,R106
Timon lepidus,Squamata,Lacertidae,R123
Timon princeps,Squamata,Lacertidae,R131
Macroprotodon brevis,Squamata,Colubridae,R143
Macroprotodon cucullatus,Squamata,Colubridae,R144
Malpolon monspessulanus,Squamata,Psammophiidae,R147
Platyceps najadum,Squamata,Colubridae,R163
Telescopus fallax,Squamata,Colubridae,R195
Vipera aspis,Squamata,Viperidae,R207
Dolichophis caspius,Squamata,Colubridae,R219
Chamaeleo africanus,Squamata,Chamaeleonidae,R220
Dolichophis jugularis,Squamata,Colubridae,R221
Hemorrhois nummifer,Squamata,Colubridae,R222
Hemorrhois algirus,Squamata,Colubridae,R223
Hierophis viridiflavus carbonarius,Squamata,Colubridae,R224
Dolichophis schmidti,Squamata,Colubridae,R225
Elaphe sauromates,Squamata,Colubridae,R226
Hemorrhois ravergieri,Squamata,Colubridae,R230
Platyceps ventromaculatus,Squamata,Colubridae,R231
Eirenis persicus,Squamata,Colubridae,R232
Rhynchocalamus melanocephalus,Squamata,Colubridae,R233
Spalerosophis diadema,Squamata,Colubridae,R234
Zamenis persicus,Squamata,Colubridae,R241
Telescopus nigriceps,Squamata,Colubridae,R246
Muhtarophis barani,Squamata,Colubridae,R249
Macroprotodon mauritanicus,Squamata,Colubridae,R251
Eirenis coronelloides,Squamata,Colubridae,R252
Ciconia ciconia,Ciconiiformes,Ciconiidae,B40
Atelerix algirus,Erinaceomorpha,Erinaceidae,M25
Erinaceus concolor,Erinaceomorpha,Erinaceidae,M75
Erinaceus europaeus,Erinaceomorpha,Erinaceidae,M76
Erinaceus roumanicus,Erinaceomorpha,Erinaceidae,M77
Hemiechinus auritus,Erinaceomorpha,Erinaceidae,M87
Platalea leucorodia,Pelecaniformes,Threskiornithidae,B42
Cygnus olor,Anseriformes,Anatidae,B44
Tadorna ferruginea,Anseriformes,Anatidae,B56
Bucephala clangula,Anseriformes,Anatidae,B78
Mergellus albellus,Anseriformes,Anatidae,B80
Mergus serrator,Anseriformes,Anatidae,B81
Mergus merganser,Anseriformes,Anatidae,B82
Pandion haliaetus,Accipitriformes,Pandionidae,B85
Phalacrocorax aristotelis,Suliformes,Phalacrocoracidae,B26
Chroicocephalus genei,Charadriiformes,Laridae,B218
Pernis apivorus,Accipitriformes,Accipitridae,B86
Mustela nivalis,Carnivora,Mustelidae,M166
Elanus caeruleus,Accipitriformes,Accipitridae,B87
Sylvia atricapilla,Passeriformes,Sylviidae,B372
Sylvia borin,Passeriformes,Sylviidae,B373
Sylvia communis,Passeriformes,Sylviidae,B374
Sylvia curruca,Passeriformes,Sylviidae,B375
Sylvia nisoria,Passeriformes,Sylviidae,B376
Sylvia hortensis,Passeriformes,Sylviidae,B377
Sylvia ruppeli,Passeriformes,Sylviidae,B378
Sylvia cantillans,Passeriformes,Sylviidae,B379
Sylvia melanocephala,Passeriformes,Sylviidae,B380
Sylvia melanothorax,Passeriformes,Sylviidae,B381
Sylvia mystacea,Passeriformes,Sylviidae,B382
Sylvia conspicillata,Passeriformes,Sylviidae,B383
Sylvia undata,Passeriformes,Sylviidae,B384
Sylvia sarda,Passeriformes,Sylviidae,B385
Saxicola rubetra,Passeriformes,Muscicapidae,B401
Saxicola torquatus,Passeriformes,Muscicapidae,B402
Pastor roseus,Passeriformes,Sturnidae,B450
Sturnus vulgaris,Passeriformes,Sturnidae,B451
Sturnus unicolor,Passeriformes,Sturnidae,B452
Fringilla coelebs,Passeriformes,Fringillidae,B471
Carpodacus erythrinus,Passeriformes,Fringillidae,B474
Carpodacus rubicilla,Passeriformes,Fringillidae,B475
Chloris chloris,Passeriformes,Fringillidae,B480
Acanthis flammea,Passeriformes,Fringillidae,B481
Acanthis hornemanni,Passeriformes,Fringillidae,B482
Spinus spinus,Passeriformes,Fringillidae,B483
Carduelis carduelis,Passeriformes,Fringillidae,B484
Linaria flavirostris,Passeriformes,Fringillidae,B485
Linaria cannabina,Passeriformes,Fringillidae,B486
Serinus pusillus,Passeriformes,Fringillidae,B487
Serinus serinus,Passeriformes,Fringillidae,B488
Serinus canaria,Passeriformes,Fringillidae,B489
Carduelis citrinella,Passeriformes,Fringillidae,B490
Coccothraustes coccothraustes,Passeriformes,Fringillidae,B493
Rhodopechys sanguineus,Passeriformes,Fringillidae,B494
Rhodospiza obsoleta,Passeriformes,Fringillidae,B497
Passer italiae,Passeriformes,Passeridae,B498
Passer domesticus,Passeriformes,Passeridae,B499
Passer hispaniolensis,Passeriformes,Passeridae,B500
