MSW3_ID,Scientific,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value.g,BodyMass.Source,BodyMass.SpecLevel,Species,plant,animal,diet.elton
5041,Arctocephalus forsteri,Otariidae,70,10,0,20,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,1,0,Ref_115,ABC,101250,Ref_117,1,Arctocephalus forsteri,0,100,carnivore
5042,Callorhinus ursinus,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,1,0,Ref_58,ABC,45133,Ref_117,1,Callorhinus ursinus,0,100,carnivore
5043,Eumetopias jubatus,Otariidae,0,0,0,100,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,1,0,Ref_58,ABC,310000,Ref_117,1,Eumetopias jubatus,0,100,carnivore
5044,Neophoca cinerea,Otariidae,0,0,0,100,0,0,0,0,0,0,Ref_1,ABC,M,A,,1,1,0,Ref_58,ABC,190000,Ref_117,1,Neophoca cinerea,0,100,carnivore
5045,Otaria flavescens,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_3,D2,M,A,,1,1,0,Ref_115,ABC,193670.53,Ref_58,1,Otaria byronia,0,100,carnivore
5046,Phocarctos hookeri,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_3,D2,M,A,,1,1,0,Ref_3,D2,112300,Ref_117,1,Phocarctos hookeri,0,100,carnivore
5047,Zalophus californianus,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_3,D2,M,A,,1,1,0,Ref_58,ABC,80000,Ref_117,1,Zalophus californianus,0,100,carnivore
5048,Zalophus japonicus,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_3,D2,M,A,,1,1,0,Ref_2,D1,80000,"Ref_2, Ref_3",0,Zalophus japonicus,0,100,carnivore
5049,Zalophus wollebaeki,Otariidae,40,0,0,60,0,0,0,0,0,0,Ref_3,D2,M,A,,1,1,0,Ref_2,D1,80000,"Ref_2, Ref_3",0,Zalophus wollebaeki,0,100,carnivore
5050,Conepatus chinga,Mephitidae,80,0,10,0,0,0,10,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_2,D1,1917.52,Ref_117,1,Conepatus chinga,10,90,omnivore
5051,Conepatus humboldtii,Mephitidae,80,0,10,0,0,0,10,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,328,Ref_117,1,Conepatus humboldtii,10,90,omnivore
5052,Conepatus leuconotus,Mephitidae,80,0,10,0,0,0,10,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,3500.02,Ref_117,1,Conepatus leuconotus,10,90,omnivore
5053,Conepatus semistriatus,Mephitidae,80,0,10,0,0,0,10,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,1200,Ref_117,1,Conepatus semistriatus,10,90,omnivore
5054,Mephitis macroura,Mephitidae,20,30,0,0,0,0,20,0,10,20,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,801.25,Ref_117,1,Mephitis macroura,50,50,omnivore
5055,Mephitis mephitis,Mephitidae,20,30,0,0,0,0,20,0,10,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,2085.02,Ref_117,1,Mephitis mephitis,50,50,omnivore
5056,Mydaus javanensis,Mephitidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,2500,Ref_117,1,Mydaus javanensis,20,80,omnivore
5057,Mydaus marchei,Mephitidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1414.2,Ref_117,1,Mydaus marchei,20,80,omnivore
5058,Spilogale angustifrons,Mephitidae,50,40,0,0,0,0,10,0,0,0,Ref_110,ABC,G,A,,1,0,0,Ref_2,D1,334.37,"Ref_2, Ref_3",0,Spilogale angustifrons,10,90,omnivore
5059,Spilogale gracilis,Mephitidae,30,40,0,0,0,0,0,0,0,30,Ref_1,ABC,G,A,,1,0,0,Ref_2,D1,466.5,Ref_122,1,Spilogale gracilis,30,70,omnivore
5060,Spilogale putorius,Mephitidae,30,40,0,0,0,0,0,0,0,30,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,341,Ref_117,1,Spilogale putorius,30,70,omnivore
5061,Spilogale pygmaea,Mephitidae,80,20,0,0,0,0,0,0,0,0,Ref_110,ABC,G,A,,1,1,1,Ref_1,ABC,235,Ref_117,1,Spilogale pygmaea,0,100,carnivore
5062,Spilogale aquaticus,Mephitidae,40,40,0,0,0,0,0,0,0,20,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,283.08,"Ref_2, Ref_3",0,NA,20,80,omnivore
5063,Bassaricyon alleni,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,1235.01,Ref_117,1,Bassaricyon alleni,70,30,omnivore
5064,Bassaricyon beddardi,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,1235.01,Ref_117,1,Bassaricyon alleni,70,30,omnivore
5065,Bassaricyon gabbii,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,1250,Ref_117,1,Bassaricyon gabbii,70,30,omnivore
5066,Bassaricyon lasius,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,1200,Ref_117,1,Bassaricyon gabbii,70,30,omnivore
5067,Bassaricyon pauli,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,1200,Ref_117,1,Bassaricyon gabbii,70,30,omnivore
5068,Bassariscus astutus,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,1129.51,Ref_117,1,Bassariscus astutus,70,30,omnivore
5069,Bassariscus sumichrasti,Procyonidae,20,10,0,0,0,0,70,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,899.99,Ref_117,1,Bassariscus sumichrasti,70,30,omnivore
5070,Nasua nasua,Procyonidae,10,20,0,0,0,0,70,0,0,0,Ref_1,ABC,S,A,,0,0,1,Ref_1,ABC,3793.85,Ref_117,1,Nasua nasua,70,30,omnivore
5071,Nasua narica,Procyonidae,10,20,0,0,0,0,70,0,0,0,Ref_1,ABC,S,A,,0,0,1,Ref_1,ABC,4030.05,Ref_117,1,Nasua narica,70,30,omnivore
5072,Nasuella olivacea,Procyonidae,10,20,0,0,0,0,70,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1339.99,Ref_117,1,Nasuella olivacea,70,30,omnivore
5073,Potos flavus,Procyonidae,10,0,0,0,10,0,80,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,3000,Ref_117,1,Potos flavus,80,20,omnivore
5074,Procyon cancrivorus,Procyonidae,50,0,10,20,0,0,10,0,10,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,6949.92,Ref_117,1,Procyon cancrivorus,20,80,omnivore
5075,Procyon lotor,Procyonidae,40,0,20,0,0,0,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,5524.97,Ref_117,1,Procyon lotor,40,60,omnivore
5076,Procyon pygmaeus,Procyonidae,40,0,20,0,0,0,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,2500,Ref_117,1,Procyon pygmaeus,40,60,omnivore
5077,Ailurus fulgens,Ailuridae,10,10,0,0,0,0,10,0,10,60,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,4900,Ref_117,1,Ailurus fulgens,80,20,omnivore
5078,Equus burchellii,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,276000,Ref_117,1,Equus quagga,100,0,herbivore
5079,Equus quagga,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,4.00E+05,Ref_117,1,Equus quagga,100,0,herbivore
5080,Equus zebra,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,286998.75,Ref_117,1,Equus zebra,100,0,herbivore
5081,Equus kiang,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,275000,Ref_117,1,Equus kiang,100,0,herbivore
5082,Equus caballus,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,250000,Ref_117,1,Equus caballus,100,0,herbivore
5083,Equus asinus,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,244999.25,Ref_117,1,Equus asinus,100,0,herbivore
5084,Equus grevyi,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,407999.85,Ref_117,1,Equus grevyi,100,0,herbivore
5085,Equus hemionus,Equidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,240000,Ref_117,1,Equus hemionus,100,0,herbivore
5086,Tapirus bairdii,Tapiridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,299999.13,Ref_117,1,Tapirella bairdii,100,0,herbivore
5087,Tapirus indicus,Tapiridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,296250,Ref_117,1,Acrocodia indica,100,0,herbivore
5088,Tapirus pinchaque,Tapiridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,148949.83,Ref_117,1,Tapirus pinchaque,100,0,herbivore
5089,Tapirus terrestris,Tapiridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,207500.91,Ref_117,1,Tapirus terrestris,100,0,herbivore
5090,Ceratotherium simum,Rhinocerotidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,2949986.31,Ref_117,1,Ceratotherium simum,100,0,herbivore
5091,Dicerorhinus sumatrensis,Rhinocerotidae,0,0,0,0,0,0,50,0,0,50,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,1266667,Ref_117,1,Dicerorhinus sumatrensis,100,0,herbivore
5092,Diceros bicornis,Rhinocerotidae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,1180510.9,Ref_117,1,Diceros bicornis,100,0,herbivore
5093,Rhinoceros sondaicus,Rhinocerotidae,0,0,0,0,0,0,30,0,0,70,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,1750000,Ref_117,1,Rhinoceros sondaicus,100,0,herbivore
5094,Rhinoceros unicornis,Rhinocerotidae,0,0,0,0,0,0,20,0,0,80,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1602333,Ref_117,1,Rhinoceros unicornis,100,0,herbivore
5095,Sus celebensis,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,55000,Ref_117,1,Sus celebensis,70,30,omnivore
5096,Sus ahoenobarbus,Suidae,0,0,0,0,10,10,40,0,30,10,Ref_22,ABC,G,A,,1,1,0,Ref_2,D1,73569.74,"Ref_2, Ref_3",0,Sus ahoenobarbus,80,20,omnivore
5097,Sus verrucosus,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,81250,Ref_117,1,Sus verrucosus,70,30,omnivore
5098,Sus scrofa,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,96118.09,Ref_117,1,Sus scrofa,70,30,omnivore
5099,Sus salvanius,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,7718,Ref_117,1,Sus salvanius,70,30,omnivore
5100,Sus oliveri,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_2,D1,G,A,,1,1,0,Ref_2,D1,73569.74,"Ref_2, Ref_3",0,Sus oliveri,70,30,omnivore
5101,Sus cebifrons,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,190792.3,Ref_58,1,Sus cebifrons,70,30,omnivore
5102,Sus bucculentus,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,81648.19,Ref_178,2,Sus bucculentus,70,30,omnivore
5103,Sus barbatus,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,96666.67,Ref_117,1,Sus barbatus,70,30,omnivore
5104,Sus philippensis,Suidae,10,0,0,0,10,10,0,0,10,60,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,190792.3,Ref_58,1,Sus philippensis,70,30,omnivore
5105,Babyrousa babyrussa,Suidae,0,0,0,0,0,0,40,0,0,60,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,1.00E+05,Ref_117,1,Babyrousa babyrussa,100,0,herbivore
