Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species;Author
M285;633854;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa occidentalis;Cabrera, 1907 
M286;633855;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa romana;Thomas, 1902 
M287;633856;v1.9 rev 2126ab0;Mammalia;Eulipotyphla;Talpidae;Talpa stankovici;V. Martino and E. Martino, 1931 
M288;632477;v1.9 rev 2126ab0;Mammalia;Rodentia;Sciuridae;Tamias sibiricus;(Laxmann, 1769) 
M289;633002;v1.9 rev 2126ab0;Mammalia;Rodentia;Muridae;Tatera indica;(Hardwicke, 1807) 
M290;180543;v1.9 rev 2126ab0;Mammalia;Carnivora;Ursidae;Ursus arctos;Linnaeus, 1758 
M291;180542;v1.9 rev 2126ab0;Mammalia;Carnivora;Ursidae;Ursus maritimus;Phipps, 1774 
M292;632159;v1.9 rev 2126ab0;Mammalia;Chiroptera;Vespertilionidae;Vespertilio murinus;Linnaeus, 1758 
M293;621958;v1.9 rev 2126ab0;Mammalia;Carnivora;Mustelidae;Vormela peregusna;(Güldenstädt, 1770) 
M294;621861;v1.9 rev 2126ab0;Mammalia;Carnivora;Canidae;Vulpes corsac;(Linnaeus, 1768) 
M295;180604;v1.9 rev 2126ab0;Mammalia;Carnivora;Canidae;Vulpes vulpes;(Linnaeus, 1758) 
R1;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ablepharus bivittatus;(Menetries, 1832)
R2;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ablepharus budaki;Göcmen, Kumlutas & Tosunoglu, 1996
R3;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ablepharus chernovi;Darevsky, 1953
R4;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ablepharus kitaibelii;(Bibron & Bory St-vincent, 1833)
R5;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Ablepharus pannonicus;(Fitzinger, 1824)
R6;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Acanthodactylus erythrurus;(Schinz, 1833)
R7;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Acanthodactylus schreiberi;Boulenger, 1878
R8;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Algyroides fitzingeri;(Wiegmann, 1834)
R9;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Algyroides marchi;Valverde, 1958
R10;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Algyroides moreoticus;Bibron & Bory
R11;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Algyroides nigropunctatus;(Duméril & Bibron, 1839)
R12;818121;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Alsophylax pipiens;(Pallas, 1827) 
R13;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Anguidae;Anguis cephallonica;Werner, 1894
R14;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Anguidae;Anguis fragilis;Linnaeus, 1758
R15;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Archaeolacerta bedriagae;(Camerano, 1885)
R16;818144;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Asaccus elisae;(F. Werner, 1895) 
R17;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Amphisbaenidae;Blanus cinereus;(Vandelli, 1797)
R18;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Amphisbaenidae;Blanus strauchi;(Bedriaga, 1884)
R19;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides bedriagai;(Bosca, 1880)
R20;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides sexlineatus bistriatus;Steindachner, 1891
R21;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides chalcides;(Linnaeus, 1758)
R22;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides ocellatus;(Forskal, 1775)
R23;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides sexlineatus;Steindachner, 1891
R24;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides simonyi;(Gravenhorst, 1851)
R25;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides striatus;(Cuvier, 1829)
R26;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Scincidae;Chalcides viridanus;(Gravenhorst, 1851)
R27;715154;v1.9 rev 2126ab0;Reptilia;Squamata;Chamaeleonidae;Chamaeleo chamaeleon;(Linnaeus, 1758) 
R28;1081704;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Coronella austriaca;Laurenti, 1768 
R29;1081706;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Coronella girondica;(Daudin, 1803) 
R30;818419;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Cyrtopodion caspium;(Eichwald, 1831) 
R31;818911;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Mediodactylus heterocercus;(Blanford, 1874)
R32;818913;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Mediodactylus kotschyi;(Steindachner, 1870)
R33;818915;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Mediodactylus russowii;(Strauch, 1887)
R34;208988;v1.9 rev 2126ab0;Reptilia;Squamata;Gekkonidae;Cyrtopodion scabrum;(Heyden in Rüppell, 1827) 
R35;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia alpina;(Darevsky, 1967)
R36;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia armeniaca;(Méhely, 1909)
R37;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia bendimahiensis;(Schmidtler, Eiselt & Darevsky, 1994)
R38;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia brauneri;(Méhely, 1909)
R39;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia caucasica;(Méhely, 1909)
R40;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia clarkorum;(Darevsky & Vedmederja, 1977)
R41;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia daghestanica;(Darevsky, 1967)
R42;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia dahli;(Darevsky, 1957)
R43;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia derjugini;(Nikolsky, 1898)
R44;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia dryada;(Darevsky & Tuniyev, 1997)
R45;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia lindholmi;(Lantz & Cyrén, 1936)
R46;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia mixta;(Méhely, 1909)
R47;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia raddei nairensis;(Darewskij, 1967)
R48;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia parvula;(Lantz & Cyrén, 1913)
R49;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia portschinskii;(Kessler, 1878)
R50;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia praticola;(Eversmann, 1834)
R51;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia raddei;(Boettger, 1892)
R52;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia rostombekovi;(Darevsky, 1957)
R53;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia rudis;(Bedriaga, 1886)
R54;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia sapphirina;(Schmidtler, Eiselt & Darevsky, 1994)
R55;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia saxicola;(Eversmann, 1834)
R56;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia unisexualis;(Darevsky, 1966) 
R57;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia uzzelli;(Darevsky & Danielyan, 1977)
R58;n/a;v1.9 rev 2126ab0;Reptilia;Squamata;Lacertidae;Darevskia valentini;(Boettger, 1892)
R59;1081802;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis aurolineatus;(Venzmer, 1919) 
R60;1081803;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis barani;Schmidtler, 1988 
R61;1081691;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Platyceps collaris;(Müller, 1878) 
R62;1081804;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis coronella;(Schlegel, 1837) 
R63;1081805;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis decemlineatus;(A. M. C. Duméril, Bibron and A. H. A. Duméril, 1854) 
R64;1081806;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis eiselti;Schmidtler, 1978 
R65;1081807;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis hakkariensis;Schmidtler and Eiselt, 1991 
R66;1081498;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis levantinus;Schmidtler, 1993 
R67;1081499;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis lineomaculatus;Schmidt, 1939 
R68;1081501;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis modestus;(Martin, 1838) 
R69;1081502;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis punctatolineatus;(Boettger, 1892) 
R70;1081504;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis rothii;Jan, 1863
R71;1081505;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis thospitis;Schmidtler and Lanza, 1990 
R72;1081814;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Elaphe dione;(Pallas, 1773) 
R73;1081500;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Eirenis medus;(Chernov, 1940) 
R74;1081821;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis hohenackeri;(Strauch, 1873) 
R75;1081822;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis lineatus;(Camerano, 1891) 
R76;1081823;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis longissimus;(Laurenti, 1768) 
R77;1081831;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Elaphe quatuorlineata;(Bonnaterre, 1790) 
R78;1082914;v1.9 rev 2126ab0;Reptilia;Squamata;Colubridae;Zamenis scalaris;(Schinz, 1822) 
