Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Amphisbaenians,Amphisbaena bedai,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Cynisca chirioi,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis decosteri,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis leonhardi,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis rhodesiana,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis scalper,Amphisbaenidae,N,1.219828778,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena caeca,Amphisbaenidae,Y,1.225819207,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis welwitschii,Amphisbaenidae,N,1.237738555,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis perplexus,Amphisbaenidae,N,1.278824868,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena kraoh,Amphisbaenidae,N,1.307589456,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena bilabialatus,Amphisbaenidae,N,1.318963471,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena gonavensis,Amphisbaenidae,Y,1.335886307,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena hyporissor,Amphisbaenidae,Y,1.335886307,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cuiabana,Amphisbaenidae,N,1.36924614,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena brasiliana,Amphisbaenidae,N,1.374744464,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena spurelli,Amphisbaenidae,N,1.391135963,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena vermicularis,Amphisbaenidae,N,1.418116627,N,"Feldman et al., 2016",
Amphisbaenians,Ancylocranium ionidesi,Amphisbaenidae,N,1.434106492,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena octostegum,Amphisbaenidae,N,1.476041485,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis capensis,Amphisbaenidae,N,1.496636021,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis infuscata,Amphisbaenidae,N,1.496636021,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena amazonica,Amphisbaenidae,N,1.506842607,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena angustifrons,Amphisbaenidae,N,1.522041114,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis anchietae,Amphisbaenidae,N,1.522041114,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena leucocephala,Amphisbaenidae,N,1.547080654,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena trachura,Amphisbaenidae,N,1.547080654,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena kisteumacheri,Amphisbaenidae,N,1.576660142,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis guentheri,Amphisbaenidae,N,1.576660142,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena darwini,Amphisbaenidae,N,1.596104121,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena varia,Amphisbaenidae,N,1.596104121,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia angolensis,Amphisbaenidae,N,1.605745242,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis sphenorhynchus,Amphisbaenidae,N,1.620107508,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis vanderysti,Amphisbaenidae,N,1.620107508,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena saxosa,Amphisbaenidae,N,1.66714329,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena cerradensis,Amphisbaenidae,N,1.712941143,N,"Feldman et al., 2016",
Amphisbaenians,Amphisbaena wiedi,Amphisbaenidae,N,1.712941143,N,"Feldman et al., 2016",
Amphisbaenians,Monopeltis luandae,Amphisbaenidae,N,1.712941143,N,"Feldman et al., 2016",
Amphisbaenians,Rhineura floridana,Rhineuridae,N,1.734303125,Y,"Feldman et al., 2016","Holman, 1995"
Amphisbaenians,Amphisbaena mertensii,Amphisbaenidae,N,1.822424914,N,"Feldman et al., 2016",
Amphisbaenians,Dalophia ellenbergeri,Amphisbaenidae,N,1.864359907,N,"Feldman et al., 2016",
