Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M144,29,NA,Mammalia,Rodentia,Cricetidae,Microtus majori,24.5,24.5
M145,36.49,NA,Mammalia,Rodentia,Cricetidae,Microtus middendorffii,56.6,56.6
M146,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus multiplex,23.2,23.2
M147,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus nasarovi,38.6,38.6
M148,62,NA,Mammalia,Rodentia,Cricetidae,Microtus oeconomus,34.4,34.4
M149,26,NA,Mammalia,Rodentia,Cricetidae,Microtus savii,20,20
M150,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus schidlovskii,46.7,46.7
M151,38,NA,Mammalia,Rodentia,Cricetidae,Microtus socialis,48,48
M152,26,NA,Mammalia,Rodentia,Cricetidae,Microtus subterraneus,19.5,19.5
M153,36,NA,Mammalia,Rodentia,Cricetidae,Microtus tatricus,40,40
M154,NA,NA,Mammalia,Rodentia,Cricetidae,Microtus thomasi,26.5,26.5
M155,20.8,NA,Mammalia,Chiroptera,Vespertilionidae,Miniopterus fuliginosus,NA,20.8
M156,20.8,NA,Mammalia,Chiroptera,Vespertilionidae,Miniopterus schreibersii,11.1,11.1
M157,NA,NA,Mammalia,Rodentia,Muridae,Mus cypriacus,50.6,50.6
M158,22,NA,Mammalia,Rodentia,Muridae,Mus macedonicus,15,15
M159,22,NA,Mammalia,Rodentia,Muridae,Mus musculus,16.1,16.1
M160,14.9,NA,Mammalia,Rodentia,Muridae,Mus spicilegus,14,14
M161,19,NA,Mammalia,Rodentia,Muridae,Mus spretus,12.8,12.8
M162,40,NA,Mammalia,Rodentia,Gliridae,Muscardinus avellanarius,27.5,27.5
M163,445,NA,Mammalia,Carnivora,Mustelidae,Mustela erminea,119.4,119.4
M164,2050,NA,Mammalia,Carnivora,Mustelidae,Mustela eversmanii,1350,1350
M165,1005,NA,Mammalia,Carnivora,Mustelidae,Mustela lutreola,440,440
M166,250,NA,Mammalia,Carnivora,Mustelidae,Mustela nivalis,137.5,137.5
M167,1710,NA,Mammalia,Carnivora,Mustelidae,Mustela putorius,915.4,915.4
M168,820,NA,Mammalia,Carnivora,Mustelidae,Mustela sibirica,405,405
M169,40,NA,Mammalia,Rodentia,Cricetidae,Myodes glareolus,21.2,21.2
M170,50,NA,Mammalia,Rodentia,Cricetidae,Myodes rufocanus,37,37
M171,40,NA,Mammalia,Rodentia,Cricetidae,Myodes rutilus,28.2,28.2
M172,56,NA,Mammalia,Rodentia,Gliridae,Myomimus roachi,45.5,45.5
M173,56,NA,Mammalia,Rodentia,Gliridae,Myomimus setzeri,9.5,9.5
