Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
B503,19,NA,Aves,Passeriformes,Passeridae,Gymnoris xanthocollis
B504,30,NA,Aves,Passeriformes,Passeridae,Petronia petronia
B505,23.2,NA,Aves,Passeriformes,Passeridae,Petronia brachydactyla
B506,35.07,NA,Aves,Passeriformes,Passeridae,Montifringilla nivalis
B507,37.3,NA,Aves,Passeriformes,Alaudidae,Galerida theklae
B508,360,NA,Aves,Columbiformes,Columbidae,Columba bollii
B509,380,NA,Aves,Columbiformes,Columbidae,Columba junoniae
B51,2900,NA,Aves,Anseriformes,Anatidae,Anser anser
B510,30.1,NA,Aves,Passeriformes,Fringillidae,Fringilla teydea
B513,12.1,NA,Aves,Passeriformes,Muscicapidae,Saxicola dacotiae
B514,238,NA,Aves,Charadriiformes,Charadriidae,Vanellus gregarius
B515,NA,NA,Aves,Gruiformes,Otididae,Chlamydotis undulata
B516,NA,NA,Aves,Charadriiformes,Glareolidae,Cursorius cursor
B517,7.5,NA,NA,NA,NA,Phylloscopus ibericus
B518,11,NA,NA,NA,NA,Sylvia albistriata
B519,11,NA,NA,NA,NA,Sylvia subalpina
B520,11,NA,NA,NA,NA,Sylvia inornata
B521,8,NA,NA,NA,NA,Phylloscopus orientalis
B522,6,NA,NA,NA,NA,Regulus madeirensis
B523,12.5,NA,NA,NA,NA,Serinus corsicana
B524,517.622,NA,NA,NA,NA,Corvus cornix
B525,NA,NA,NA,NA,NA,Chlamydotis macqueenii
B526,7.5,NA,NA,NA,NA,Phylloscopus canariensis
B53,1719,NA,Aves,Anseriformes,Anatidae,Branta leucopsis
B54,1411,NA,Aves,Anseriformes,Anatidae,Branta bernicla
B56,1363.46,NA,Aves,Anseriformes,Anatidae,Tadorna ferruginea
B57,1250,NA,Aves,Anseriformes,Anatidae,Tadorna tadorna
B58,691,NA,Aves,Anseriformes,Anatidae,Anas penelope
B59,753,NA,Aves,Anseriformes,Anatidae,Anas strepera
B6,975,NA,Aves,Podicipediformes,Podicipedidae,Podiceps cristatus
B60,325,NA,Aves,Anseriformes,Anatidae,Anas crecca
B61,1125,NA,Aves,Anseriformes,Anatidae,Anas platyrhynchos
B62,818,NA,Aves,Anseriformes,Anatidae,Anas acuta
B63,370,NA,Aves,Anseriformes,Anatidae,Anas querquedula
B64,707.4,NA,Aves,Anseriformes,Anatidae,Anas clypeata
B65,502,NA,Aves,Anseriformes,Anatidae,Marmaronetta angustirostris
B66,1150,NA,Aves,Anseriformes,Anatidae,Netta rufina
B67,900,NA,Aves,Anseriformes,Anatidae,Aythya ferina
B68,553.3,NA,Aves,Anseriformes,Anatidae,Aythya nyroca
B69,725,NA,Aves,Anseriformes,Anatidae,Aythya fuligula
B7,476,NA,Aves,Podicipediformes,Podicipedidae,Podiceps grisegena
B70,1055.3,NA,Aves,Anseriformes,Anatidae,Aythya marila
B71,1966.67,NA,Aves,Anseriformes,Anatidae,Somateria mollissima
